firm,model,drive,frame_type,generation_number,year,restyling_number,mileage,transmission,engine_power,steering_wheel,fuel_type,volume,ownership_periods,price
Ford,Fiesta,FF,HATCH,5,2007,1,93000,MANUAL,101,left,GASOLINE,1600.0,4.0,258000
Hyundai,Santa Fe Classic,FF,SUV,1,2008,0,78000,MANUAL,112,left,DIESEL,2000.0,1.0,495000
Toyota,RAV4,4WD,SUV,3,2010,1,97000,AUTO,152,left,GASOLINE,2000.0,2.0,1050000
Suzuki,Grand Vitara XL-7,4WD,SUV,-1,2007,-1,77000,AUTO,250,left,GASOLINE,3600.0,5.0,755000
Opel,Antara,4WD,SUV,1,2008,0,75000,AT,140,left,GASOLINE,2400.0,2.0,640000
Mazda,CX-7,4WD,SUV,1,2008,0,97000,AUTO,238,left,GASOLINE,2300.0,2.0,565000
Nissan,Murano,4WD,SUV,1,2002,0,130000,AUTO,234,left,GASOLINE,3500.0,7.0,445000
Mitsubishi,Colt,FF,HATCH,6,2007,0,96000,MT,95,left,GASOLINE,1300.0,3.0,295000
Land Rover,Discovery,4WD,SUV,3,2007,0,138000,AUTO,190,left,DIESEL,2700.0,3.0,815000
Daewoo,Nexia,FF,SEDAN,1,2012,2,50000,MANUAL,80,left,GASOLINE,1500.0,1.0,248000
Citroen,C3,FF,HATCH,-1,2007,-1,165000,MANUAL,73,left,GASOLINE,1400.0,3.0,258000
Chevrolet,TrailBlazer,4WD,SUV,1,2008,1,91000,AUTO,295,left,GASOLINE,4200.0,5.0,645000
Chevrolet,Lacetti,FF,SEDAN,1,2007,0,91000,MANUAL,95,left,GASOLINE,1400.0,5.0,295000
Chery,QQ6 S21,FF,SEDAN,1,2009,0,32000,MT,68,left,GASOLINE,1100.0,2.0,195000
Chery,Fora A21,FF,SEDAN,-1,2007,-1,90000,MANUAL,129,left,GASOLINE,2000.0,4.0,210000
Chevrolet,Niva,4WD,SUV,1,2005,0,84000,MT,80,left,GASOLINE,1700.0,4.0,220000
Jeep,Compass,4WD,SUV,1,2014,1,15000,AT,170,left,GASOLINE,2400.0,3.0,1659000
Kia,Sorento,4WD,SUV,1,2009,1,90000,AUTO,170,left,DIESEL,2500.0,2.0,825000
Nissan,Juke,FF,SUV,1,2011,0,60000,AUTO,117,left,GASOLINE,1600.0,5.0,690000
Kia,Carens,FF,MINIVAN,-1,2004,-1,134000,AUTO,115,left,DIESEL,2000.0,4.0,385000
Daewoo,Nexia,FF,SEDAN,1,2012,2,63000,MANUAL,80,left,GASOLINE,1500.0,2.0,212000
Nissan,X-Trail,4WD,SUV,2,2012,1,104000,AUTO,141,left,GASOLINE,2000.0,4.0,790000
Toyota,Hiace,FR,MINIVAN,5,2014,1,65000,MT,136,left,DIESEL,3000.0,1.0,4000000
Suzuki,Swift,FF,HATCH,-1,2011,-1,108000,AUTO,94,left,GASOLINE,1300.0,1.0,445000
Porsche,Cayenne,4WD,SUV,1,2007,1,90000,AT,385,left,GASOLINE,4800.0,4.0,1000000
Nissan,Teana,4WD,SEDAN,2,2010,0,154000,AUTO,167,left,GASOLINE,2500.0,0.0,700000
Ford,S-MAX,FF,MINIVAN,1,2008,0,550000,MT,145,left,GASOLINE,2000.0,5.0,585000
Mercedes-Benz,E-Class,4WD,SEDAN,4,2014,1,66000,AT,204,left,DIESEL,2100.0,3.0,2400000
